,review,rating
0,i would like give shout sf fire credit union note im real estate industry ive worked number bank credit union these guy easy work get thing done timely manor call always someone available pick phone talk whatever need very personal i applied equity line credit property i called told i hated filling application said problem spent hr phone i submitted document within 1 week called back i approved done ready go like superior service bank ive dealt my contact rashida rencher 14153455421 rrenchersffirecuorg she great work knowledgeable fun polite professional put question i continue business day cu line credit need,5
1,poor future commission merchant muddyouter space aggregate trader 70 90 percent introduce business activity hedged know shuttingbroke hell nothing buddy commission staff may exercise judgment reclassifying traderdont move may classified commercial trader commodity 005eurodollar future hold 2000 long bad bootee cot data broken downpositions may 2004 future month aggregated position might posted somewhere secluded financial segregation interpretation thomson reuters one kornberg premiumstill playing derivative encourages firm pen call quaver ratatouillerun sack principle limited subsidy understood practiced the glassallstate act kept commercial bank government safety net separate investment banking brokerdealer activitiesincludes forprofit notforprofit entity custodial account effect financial failure economy contained who coolest beneficiaryunincorporated association account separate account category unincorporated association account suicide participant share trust employee benefit plan determinable uncertain condition 457 deferred compensation plan accountsconfirming insured status bank bank find system also provides wide variety informationassessments the insurance premium paid fdicinsured institutionsbank account record include signature card certificate deposit cd passbook account ledger computer record relate bank deposittaking function also called account record deposit account record,3
2,they charge 25 courtesy fee go balance not first time every time matter small if zero balance buy 10 drink youll pay 36 itits legalized robbery bank dont anymore theyre pretty smug ill never business cant remember i first place there many bank choose,1
3,i changed credit union i wanted support local stop supporting bad bank theyve finally sorted mobile banking app fiasco still raught problem today im asked print sign scan form blatantly obvious fraudulent activity reviewed this ridiculous imagine traveling victim fraud needed money complete trip do better sf fire,1
4,i used recommend sffire friend got several join i believe strongly value credit unionsthe change theyve made past year particularly online portal made incredibly painful anything most old feature missing giving option go physical bank shudder make phone callus convinced new leadership strong customer service priority sf fire historically,2
5,i credit union 25 year unfortunately recent year 2 personalized service familiar face standard excellence changeddown downthe initial concept shared banking wonderful addition there really shared banking sffcu atm service no longer working living city extremely limited shared banking hour hold ongoing change personnel make beyond frustrating making bank i come family firefighter credit union longer favor fire fighter family personalized service so disappointing,2
6,i banking sffcu 20 year past couple year service completely fallen their new website worse old site sure managed completely botched transfer new site remove people requested longer access account took 2 additional call never responded request get car loan today i loggedin attempted use online chat get quick answer simple question wait 1hr get session auto ended zero response from sffcu their website loggedin banker doesnt even note phone number contact bank i log look nonmember pagei really dont know going bank everything going bank tell time move money somewhere else,1
7,used really really good now left hand doesnt know right hand find made error doesnt careone mistake made teller branch accumulated two half year explaining reexplaining employee employee leaving the remedy completed side follow,1
8,red flagif use half credit close credit little warning,1
9,what follows verbatim feedback i sent management sf fire credit union i feel suffice review § when i joined sffcu amazing provided need however time sf fire credit union gone downhill continues downward slide this slide causing member see yelp review contemplate look credit union meet need the 1star rating far outweigh higher rating indicating new ceo cause issuesi adding review yelp sadly 1star ratingthe new online banking worst asking answer security question never asked responded asking username reality want member number then indicating wrong password input correct password inputthe atm machine main branch 3201 california street second week row work inexcusable it tremendously slow old outdatedthe mobile banking app sorry excuse app this reflected 18 customer rating depositing check worthless app maddening 3rd attempt i uninstalled appthe one time i tried live chat got message i directed outside sf fire credit union trusted partner see image prompted immediate disconnect with identity theft rise earth would i give banking information anyone outside sffcu trusted this totally absurd the contact center need open 247365 often time thing happen need immediate attention contact center conveniently closedall issue overcome many member sffcu need lose recognizes problem corrects,1
10,beware beware i looking suing bank they frozen money multiple occasion showing account balance correct number suddenly available fund zero most recently charged bunch random fee i dispute these action cause check bounce auto payment fail im phone constantly simply trying damage control associated bank feel like trying avoid run bank they clearly last leg seriously avoid place cost,1
11,i used love sf fire credit union i talked great friend coworkers really used greatin fall 2017 sf fire credit union overhaul app site customer service result awful it impossible update payee anymore i updated mortgage payee information i see correct info online backend somehow updated sf fire credit union lost march mortgage payment it week calling constantly trying get anyone customer advocate i currently looking new credit union i zero faith one,1
12,avoid this place at all cost after 15 year ok service ok never great online banking problematic totally scrap online banking installed new system great idea horrible execution their new online banking system impossible worst design ever ive spent 9 month trying get answer solution new problem dysfunctional system created to top help system used pretty good gotten worse recent help assistance ive gotten compounded issue creating new problem max edward became goto guy solve problem i threatened move another bank stopped returning email phone call month how ceo never fired going horrible new online system ill never know,1
13,like many others space one year i gone loving sf fire credit union finding broken unprofessional i cant trust money longerproblems new technology expected react really make difference sffcu abysmal regardthe new bill pay system disaster i rent check go unsent website app showed sent successfully naturally i didnt find mgmt co called asking money conveniently happened i traveling abroad the sffcu never could explain problem end tried blame saying must changed something within 24 hour scheduled payment 1 their system said payment successful 2 i didnt change anything 3 i presumably know v something id changed 4 web app allow breaking change without telling user 5 i mention i didnt change anything a today website show payment failed mobile app still say successfuli one customer support rep local grade school english insult calling twice follow problem theyd promised follow specific date not care went wrong customer pest careit astounding beloved reliable institution could fall apart quickly whats happened i hope bring back i cant bet farm,1
14,i believe there orchestrated effort credit union leadership lose many client possible shortest time possible this explanation level service degraded much perhaps bit chewi didnt change opinion sf fire credit union overnight no took three formidable strikesstrike 1i lost wallet vacationing eu last summer i immediately called sff cu cancel debit card i asked representative send replacement card fastest way possible home address since wouldnt ship anywhere else it took three week card arrive home address meanwhile i stranded island croatia wasnt cash travel friend gave wouldnt rough ordealstrike 2i send money family friend located eu every often sff cu used charge 25 ach transaction well changed most recently i tried send money i learned fee increased 60 fine i said let complete transaction the wire transfer go i charged 80 not happy least money delivered well really after seven day waiting checking make sure money delivered i learn way sff cu executed transaction local bank requiring proof money origin long story short money returned account took 5 additional day i charged additional 30 pleasure to recap ive spent 110 money take trip eu back strike 3i consumer line credit 0 balance i used year ive misplaced credit card long time ago i paid visit california branch get replacement card thats convenient way business institution instead phone hour ive asked person counter cancel old card send new one mail she said new card arrive within 5 business day it month since i dont actually need credit card i need bank i rely,1
15,super wonderful bank i left well fargo year ago difference amazing hardly issue fixed asap i card issue today teller branch i believe name moné super patient helped quickly incredibly friendly i havent regretted banking plus main branch super nice clean welcoming always candy bowl,5
16,ive longtime member fed im closing account i always loved credit union recommended others the best thing customer service i could always get someone phone within 2 minute helpful serviceoriented atm visit free multiple way deposit check mail phone whatever way used fund available immediately the online system old totally worked all changed last year now deposit check phone cant read photo check youre luck worse fund longer available immediately the entire online system redesigned impossible access since i set account husband locked joint account month recurring transfer bank cancelled this resulted challenging billpaying couple month two returned check the worst part customer service used incredible gone tube now matter time day call wait 1520 minute experiencing high call volume message sent online help center never acknowledged replied and agent longer serviceoriented i called alert fact theyd charged overdraft fee twice returned check agent told smugly thats part banking she offered refund one time courtesy know ever happens refunding itive customer better part decade usually keep account 4 digit the reason i returned check deposit longer available immediately b i longer link account automatic transfer so math dollar paying pge bill month bank charged twice overdraft fee and next time happens ill luck yeah wont next time bye,1
17,im really happy able come back review say sffcu mostly returned quality service i come expect longtime customer although online banking transition caused numerous problem including money disappearing account week new system working well since difficult rollout concludedi still agree many reviewer commented credit union feel overall much impersonal sffcu used consistently exceed expectation i would say generally meet,4
18,i used love i adding list dismay sf fire credit union you warned do use it nothing pain since changed systemi tech tech company worked change outed avoided i trying navigate system right i given i call chat order figure something obvious,1
19,1 their new online banking pushed u absolute shite2 im trying buy crypto personal fund debit card according recent regulation buying credit keep getting declinedsffcu great 5 year ago i started now meh,1
20,i writing i hold 27 minute even though recording state 7 people front i joined sffcu 2003 stellar just fabulous since new ceo came horrible nightmare mention new online service lack customer service phone i trying speak live person 2 week ive opted 6 call back never received it heartbreaking happened fine credit union poor structure poor organization no customer service the customer service professional well live i live east bay drive san francisco get banking doneas soon business completed i closing account moving new bankplease please please not bank sffcu do join business do favor join another credit union it worth headache this experience leave tear i guaranteefire the new ceo diane dykstra darren much better,1
21,a business manage operation within condition dont leave susceptible liability i understand however i applied refinance car would saved much time telling dont loan money anything related business use for example uber handyman service personal delivery at least providing option not case sffcu,3
22,outstanding employee helpful knowledgeable great financial service were glad member,5
23,before diving review i want call customer service rep sffire consistently amazing without fail i speak rep frustration i leave interaction feeling better thing if rest business operated high level respect customer i wouldnt closing account 10 year i vocal supporter sffire year i member although havent fastest adopter new technology trustworthy intuitive banking product i could always rely transfer go check paid access information over year ive run banking emergency identity theft lost card etc sffire gone way make right it used feel like working small neighborhood bank people saw person line item membership spreadsheet with recent update changed recently credit union decided make change online banking system without adequate testing notification member a im sure review show incredibly disruptive member in past 30 day i online bill pay reset losing scheduled payment connection service like quicken broken no eta resolution seriously i spoke rep today confirmed broken timeline getting fixed my debit card cancelled without notification 2 week waiting new debit card paying 15 expedited multiple hour wait time call chat issue ive make 5 call past two week issuesi huge fan credit union great people ive worked sffire truly bum leaving i hope leadership learns serious lesson debacle start putting member first it credit union goodness sake start acting like,2
24,i used recommend sffcu anyone asked bank recommendation area i cant wait account finally closed im done dealing sffcu it took 3 week get response necessary step close account i finally get answer told still cant send external transfer even account new bank i walk branch withdraw money physically carry across city sffcu happened how drop ball badly still recovered you one job going start,1
25,thing run better darren herrmann ceo the new people running credit union arent rude dont care my current car financed sffcu 2012 present i excellent payment history paid loan 4 month early i applied new loan rejected when i spoke loan officer reference ten year old debt credit report tell i dont know even approved car she tell need speak someone see gave loan i paid this two week ago the online loan portal still say your loan application currently review 2 weeksseems sffcu already decided want return business indifference loan officer speaks volume declining customer service bank please send title car i way another bank value customer,1
26,if depend quicken please run hill dont bank folk if need download transaction keep book everything handi banked adored year but clunky 90 era website always awful but recently updated it look better download function lost useless website it thrown business rental income property total chaosi loved bank but im done also their loan rate quite bit higher bank always it defeat whole purpose banking credit union used getting personal service like human look holistically fico score to get fair deal mortgage car loan right well wrong at least a youll pay nose and fee forgetaboutit outrageous every time last seven year i refinanced borrow money rate much higher bank west redwood saving even chase heaven sake i given upso sad nice place bank if actually affordable useable banking service,1
27,been member credit union ever since i became fireman 12 year ago used fantastic customer service incredible darren hermann outstanding job leadership top absolute fiasco sffcu currently clear zero leadership customer service poor offer today would never tolerated you wait forever speak someone usually interested explaining cant access system help we looking new credit union immediately one act like damn credit union i truly hope sffcu go business absolutely deserve point shame sffcu,1
28,in protest new app v30 i following share a member seven year this new app awful the interface clunky feel like something created 1995 the entire design like thought put a though sffire saw another app liked forced unintuitive bleak eye buggy everywhere i got kicked customer service chat warning chat window kept closing keyboard i couldnt see i writing i conversation a one first banking establishment app youve really gone far backwards embarrassing please bring back old app,1
29,there 246 caller ahead they could avoided disaster communicating clearly personally customer regarding imminent transition instead beat u head generic message like transfer new online system without spelling detail exactly would affect u waiting u suddenly get hit unpleasant surprise day like i longer make payment via ach transfer vendor i assume also mean someone try pay ach i never receive i dont actually know estimated wait time greater 30 minute 245 caller ahead i asked hold place line request call back when i meeting called back end day guess i lost place line now i get over again,1
30,this place joke waited half hour place empty one person could help despite asking speak someone never coming non existent customer service,1
31,been customer since 2010 ive never looked back bank accountable customer shareholder bank caters client whatever rumor heard credit union sf fire credit union put shame and dont worry never file class action lawsuit,5
32,despite huge growth membership occasional long wait hold i give sf fire highest grade possible financial institution i dealt i dealt many my faith sf fire renewed excellent experience outgoing international wire handled smoothly professionally transparent online submission system robert wire transfer dept also fee still best credit union including foreign exchange fee using overseas atm i taking membership using account even i move overseas,5
33,i customer many year im seriously considering finding another credit union since revamped website i experienced nothing problem i needed tutorial learn transfer fund it banking toolhow difficult could possibly i 5year loan payment paid automatically account 4 year 5 month changed site payment stopped reason i call get reinstate sitting hold almost hour what clusterfckim sure happened fantastic place bank gone toilet both online mobile sitesapps since am arent expected back later evening according rep i spoke i given feedback every time i called doesnt seem anyone listening the expression aint broke dont fix seems fitting heremaybe take advice leave well enough alone,1
34,business member if trouble getting hold someone real demand call center give phone number business service department they finally i spoke someone sf office got i needed immediatlybehind mess core sf fire still stand and working hard fix issue,5
35,like almost everyone absolutely loved cu leadership previous ceo i singlehandily referred like 10 customer then new ceo new online banking system prob most poorly run banking operation i ever displeasure experiencing includes skank amerika hell cargo shitty banki plan going annual member meeting going amazing hear try explain away gross negligence mismanagement almost complete disintegration member trust sad day time move this credit union i knew firekathyelser,1
36,i loved sf fire year use personal business banking however theyve recently transferred new banking system i longer fan so many thing gone wrong i phone le 15 time today absolutely worst i realized somehow online banking system sent double rent payment landlord it last month well i spent hour customer service trying remedy problem when happened month i livid i hopped used convenient effective chat system waited fourty minute customer service representative tell oh yeah look like there transfer old system set deleted anything else i help yes yes something else help you tell double transfer happened month deleted you tell new system make impossible see reoccurring transfer i set old system you tell took forty minute tell see double transfer i decided get chat call customer service after waiting again im told i need call different number it hour ive trying deal bank i call new number say twenty seven people front i waited twenty minute hung this ridiculous unacceptable this people money get act together sf fire,1
