,review,rating
0,"I would like to give a shout out to sf fire credit union on a few notes. Im in the real estate industry so ive worked with a number of banks and credit unions. These guys are very easy to work with, get things done in a timely manor and if you call there is always someone available to pick up the phone and talk you through whatever it is you need. Very personal. I applied for a few equity lines of credit on some properties. I called them and told them I hated filling out applications and they said no problem and spent over an hr with me on the phone doing it for me .  I than  submitted all my documents and within 1 week they called me back and I was approved , done , ready to go, just like that. Superior service from most banks ive dealt with. My contact was Rashida Rencher  1-415-345-5421 rrencher@sffirecu.org. She was great to work with, very knowledgeable, fun, polite and professional and put up with all my questions. I will continue to do business all day with this CU for any of my lines of credit needs.",5
1,"Poor  me , futures commission merchants muddyOuter space, aggregate of all traders (70 to 90 percent )Introduce me your business activities hedged  and we know  it's shutting'Broke as hell , nothing buddies , Commission staff may exercise judgment in re-classifying a traderDon't move may be classified as a commercial trader in some commodities  (0.05)Eurodollar futures holds 2,000 long bad and bootee  COT data are broken downpositions in the May 2004 futures month were aggregated with positions ()Might be posted somewhere secluded (Financial and Segregation Interpretation ) Thomson Reuters for one Kornberg PremiumStill be playing' with  derivatives encourages firms and pens , call  Quaver RatatouilleRun with that sack,   principle of limited subsidy was understood and practiced. The Glass-Allstate Act kept commercial banks and the government safety net separate from investment banking and broker-dealer activitiesincludes both for-profit and not-for-profit entities.  (Custodial Account :)effects of financial failures on the economy were contained, who's the coolest (Beneficiary)unincorporated association accounts are a separate account category.  Unincorporated association accounts Suicide with the participant's share in a trust or employee benefit plan that is not determinable because of uncertain conditions.  457 deferred compensation plan accountsconfirming the insured status of a bank, the Bank Find system also provides a wide variety of informationAssessments: The insurance premiums paid by FDIC-insured institutions.Bank account records include signature cards, certificates of deposit (CDs), passbooks, account ledgers, and computer records that relate to the bank's deposit-taking function. Also called Account Records and Deposit Account Records.",3
2,"They will charge you a $25 ""courtesy fee"" if you go over balance. Not just for the first time, but for EVERY time, no matter how small. If you are at zero balance, and buy a $10 drink, you'll pay $36 for it.It's legalized robbery that most banks don't do anymore. They're pretty smug about it too. I'll never do business with them again. Can't remember why I did in the first place. There are many banks to choose from.",1
3,"I changed to a credit union because I wanted to support local and stop supporting bad banks. They've finally sorted out the mobile banking app fiasco, but it's still raught with problems. Today I'm being asked to print, sign, and scan a form just to have blatantly obvious fraudulent activity reviewed. This is ridiculous. Imagine you are traveling and were a victim of fraud and needed the money to complete your trip. Do better SF Fire.",1
4,"I used to recommend SFFire to my friends (and got several to join), and I believe strongly in the value of Credit Unions.The changes that they've made over the past year, particularly to their online portal, have made it incredibly painful to do just about anything. Most of the old features are missing, giving you no other option than to go their physical bank or (shudder) make a phone call.I am not convinced that their new leadership has the same strong customer service priorities that SF Fire has historically had.",2
5,"I have been with the credit union for over 25 years.  Unfortunately, in recent years (2+) the personalized service, familiar faces, and standard of excellence has changed....down, down, down.The initial concept of shared banking was a wonderful addition.  There is really no more shared banking at SFFCU, only ATM service.  No longer working or living in the city, extremely limited ""shared banking"", hours on hold, on-going change in personnel, makes it beyond frustrating in making it my bank.  I come from a family of firefighters, and the credit union no longer favors the fire fighters, their families, and personalized service.  So disappointing.",2
6,"I have been banking with SFFCU 20+ years and in the past couple years the service has completely fallen off.  Their ""new"" website is worse than the old site (not sure how they managed to do that), they completely botched the transfer over to the new site, they did not remove people i requested to no longer have access to my account (took 2 additional calls), they never responded to my request to get a car loan with them, and today I logged-in and attempted to use the online chat to get a quick answer to a simple question only to wait 1hr and get my session auto ended with ZERO RESPONSE FROM SFFCU!! Their website when logged-in as a banker doesn't even note the phone number to contact the bank (I had to log out and look at their nonmember page).I really don't know what is going on with this bank.  Everything going on with this bank tells me it is time to move my money somewhere else.",1
7,"Used to be really, really good! Now the left hand doesn't know what the right hand is doing and when it finds out it made an error, it doesn't care!!!One mistake made by a teller at the branch accumulated into two and a half years of explaining and re-explaining because of employee after employee leaving. The remedy was not completed on their side and again, no follow up.",1
8,"RED FLAGIf you use more than half your credit, they will close off your credit with little warning.",1
9,"What follows is the verbatim feedback I sent to the management at SF Fire Credit Union.  I feel it will suffice for my review. § When I joined SFFCU it was amazing and provided for my needs, however, it has been some time now that SF Fire Credit Union has gone downhill and continues this downward slide.  This slide is causing not only me but other members (See Yelp Reviews) to contemplate and look for other Credit Unions that meet our needs.  The 1-star ratings far outweigh the higher ratings with most indicating the new CEO as the cause of these issues.I too will be adding my review to Yelp and sadly it will be a 1-star rating.The ""New Online Banking"" is the worst, asking for answers to security questions that were never asked nor responded too.  Asking for a username when in reality it wants my member number.  Then indicating a wrong password has been input when the correct password was input.The ATM machine at the Main Branch (3201 California Street) for the second week in a row does not work, this is inexcusable.  It is tremendously slow, old and outdated.The Mobile Banking app is a sorry excuse for an app.  This is reflected by it 1.8 customer rating. Depositing a check with this worthless app is maddening and after the 3rd attempt, I uninstalled the app.The one time I tried the live chat and got a message that I was being directed outside of SF Fire Credit Union to a ""Trusted Partner"" (see image) which prompted an immediate disconnect.  With identity theft on the rise, why on earth would I give my banking information to anyone outside of SFFCU trusted or not.  This is totally absurd. The Contact Center should be and needs to be open 24/7/365. Often time things happen that need immediate attention and the Contact Center is conveniently CLOSED!All of these issues can be overcome, but how many members does SFFCU need to lose before it recognizes these problems and corrects them?",1
